path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
-	720	20,203.318	28.060	0.474	369.570	0.000	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	218	3,938.304	18.065	5.168	292.347	0.000	Commit 
-	2488	132.022	0.053	0.000	9.091	0.000	Close 
-	2	0.139	0.069	0.037	0.102	0.000	RowsNext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	1	0.002	0.002	0.002	0.002	0.000	RowsClose SELECT * FROM billing WHERE tenant_id=?
-	1	0.001	0.001	0.001	0.001	0.000	ResetSession 
-	1	0.000	0.000	0.000	0.000	0.000	RowsNext SELECT * FROM billing WHERE tenant_id=?
request							
GET /api/player/player/:player_id	103037	6,879,620.018	66.768	0.124	932.458	-	-
GET /api/player/competition/:competition_id/ranking	44864	2,808,785.332	62.606	0.131	920.183	-	-
GET /api/player/competitions	6216	280,074.432	45.057	0.347	876.816	-	-
POST /api/organizer/competition/:competition_id/finish	1011	106,970.523	105.806	1.145	1,014.615	-	-
GET /api/organizer/billing	984	62,465.140	63.480	0.517	773.541	-	-
POST /api/organizer/competition/:competition_id/score	1073	52,088.081	48.544	0.666	671.096	-	-
POST /api/organizer/competitions/add	1067	48,975.222	45.899	0.119	705.270	-	-
GET /api/organizer/players	1061	48,946.405	46.132	1.227	912.278	-	-
POST /initialize	1	12,201.790	12,201.790	12,201.790	12,201.790	-	-
GET /api/admin/tenants/billing	1033	7,368.490	7.133	0.675	388.881	-	-
POST /api/admin/tenants/add	83	4,282.573	51.597	0.145	591.397	-	-
POST /api/organizer/players/add	92	3,155.009	34.293	7.866	472.690	-	-
POST /api/organizer/player/:player_id/disqualified	12	647.949	53.995	1.701	310.671	-	-
GET /api/organizer/competitions	1	0.973	0.973	0.973	0.973	-	-
unknown	0	0.000	0.000	0.000	0.000	-	-
sql							
-	720	20,203.318	28.060	0.474	369.570	-	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	202	8,952.563	44.319	0.503	361.435	-	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	823	8,747.477	10.628	0.464	375.850	-	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	206	7,825.243	37.986	1.301	389.987	-	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	960	6,401.939	6.668	0.521	388.405	-	"QueryContext SELECT tenant.id, tenant.name, tenant.display_name, y.yen
		FROM tenant,
			LATERAL (
				SELECT
					SUM(yen) AS yen
				FROM
					billing
				WHERE
					billing.tenant_id = tenant.id
				GROUP BY
					tenant_id
			) AS y
		WHERE id < ? ORDER BY id DESC LIMIT 10"
-	2481	3,961.539	1.596	0.113	509.888	-	Connect 
-	218	3,938.304	18.065	5.168	292.347	-	Commit 
-	218	2,051.734	9.411	4.690	152.706	-	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	206	1,714.475	8.322	4.678	140.947	-	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	79	1,139.648	14.425	2.253	247.477	-	ExecContext INSERT INTO tenant (name, display_name, created_at, updated_at) VALUES (?, ?, ?, ?)
-	95	1,026.299	10.803	0.507	278.406	-	QueryContext SELECT * FROM tenant WHERE name = ?
-	218	993.330	4.556	0.506	217.163	-	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	73	391.164	5.358	0.672	139.132	-	"QueryContext SELECT tenant.id, tenant.name, tenant.display_name, y.yen
		FROM tenant,
			LATERAL (
				SELECT
					SUM(yen) AS yen
				FROM
					billing
				WHERE
					billing.tenant_id = tenant.id
				GROUP BY
					tenant_id
			) AS y
		ORDER BY id DESC LIMIT 10"
-	218	168.518	0.773	0.030	14.516	-	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	2488	132.022	0.053	0.000	9.091	-	Close 
-	15	119.851	7.990	6.140	11.949	-	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	1471	40.948	0.027	0.012	3.035	-	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
