path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
-	15	3.898	0.259	0.195	0.356	1.000	Connect INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
POST /api/organizer/player/:player_id/disqualified	2	12.131	6.065	4.935	7.196	-	-
- sql total time	-	11.857	-	-	-	-	-
-	2	11.260	5.630	4.666	6.593	1.000	ExecContext UPDATE player SET is_disqualified = ?, updated_at = ? WHERE id = ?
-	2	0.597	0.298	0.161	0.436	1.000	Connect 
unknown	0	0.000	0.000	0.000	0.000	-	-
- sql total time	-	4,426.389	-	-	-	-	-
-	836	2,202.517	2.634	0.392	32.799	0.000	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	203	1,766.198	8.700	4.179	50.582	0.000	Commit 
-	5068	457.672	0.090	0.015	10.590	0.000	Close 
request							
GET /api/player/player/:player_id	18894	7,472.830	0.395	0.024	46.313	-	-
POST /api/organizer/competition/:competition_id/finish	192	6,963.731	36.269	10.677	99.799	-	-
POST /api/organizer/competition/:competition_id/score	204	3,644.831	17.866	1.257	136.079	-	-
POST /initialize2	1	2,552.868	2,552.868	2,552.868	2,552.868	-	-
GET /api/player/competition/:competition_id/ranking	8199	2,486.990	0.303	0.028	78.934	-	-
GET /api/player/competitions	1185	1,598.796	1.349	0.137	36.243	-	-
POST /api/organizer/competitions/add	203	1,452.598	7.155	4.757	16.386	-	-
GET /api/organizer/players	205	726.345	3.543	1.276	12.898	-	-
POST /api/admin/tenants/add2/:tenant_id	15	361.546	24.103	17.797	52.495	-	-
GET /api/organizer/billing	187	360.260	1.926	0.846	10.597	-	-
POST /api/organizer/players/add	15	125.658	8.377	6.535	9.994	-	-
POST /api/organizer/player/:player_id/disqualified	2	12.131	6.065	4.935	7.196	-	-
unknown	0	0.000	0.000	0.000	0.000	-	-
sql							
-	5057	3,080.900	0.609	0.103	40.116	-	Connect 
-	836	2,202.517	2.634	0.392	32.799	-	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	203	1,766.198	8.700	4.179	50.582	-	Commit 
-	192	1,328.940	6.921	4.018	21.885	-	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	203	1,321.291	6.508	4.090	16.020	-	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	203	1,081.423	5.327	0.363	91.880	-	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	192	725.070	3.776	1.086	27.295	-	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	5068	457.672	0.090	0.015	10.590	-	Close 
-	2806	354.807	0.126	0.041	7.238	-	"QueryContext SELECT player_score.score, competition.title, competition.created_at, competition.id FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			ORDER BY competition.created_at ASC
			"
-	187	177.198	0.947	0.400	8.277	-	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	192	161.239	0.839	0.402	9.495	-	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	203	134.935	0.664	0.034	9.661	-	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	15	106.203	7.080	5.474	8.763	-	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	1370	53.093	0.038	0.011	2.309	-	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	192	30.068	0.156	0.022	16.180	-	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	26	19.964	0.767	0.373	4.282	-	QueryContext SELECT * FROM tenant WHERE id = ?
-	72	19.204	0.266	0.063	5.277	-	"QueryContext SELECT player_score.*, display_name FROM player_score INNER JOIN (
			SELECT player_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND competition_id = ? GROUP BY player_id
		) AS c ON (
			player_score.player_id = c.player_id
			AND player_score.row_num = c.row_num
			AND player_score.tenant_id = ? AND player_score.competition_id = ?
		)
		INNER JOIN player ON (
			player.id = player_score.player_id
		)
		ORDER BY player_score.score DESC, player_score.row_num ASC
		"
-	205	14.326	0.069	0.012	5.327	-	QueryContext SELECT * FROM player WHERE tenant_id=? ORDER BY created_at DESC
-	292	13.662	0.046	0.007	8.779	-	QueryContext SELECT * FROM player WHERE id = ?
-	2	11.260	5.630	4.666	6.593	-	ExecContext UPDATE player SET is_disqualified = ?, updated_at = ? WHERE id = ?
-	203	4.826	0.023	0.009	0.121	-	BeginTx 
-	15	3.898	0.259	0.195	0.356	-	Connect INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
