path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
POST /api/organizer/player/:player_id/disqualified	6	43.849	7.308	5.909	8.783	-	-
- sql total time	-	43.258	-	-	-	-	-
-	6	42.189	7.031	5.616	8.573	1.000	ExecContext UPDATE player SET is_disqualified = ?, updated_at = ? WHERE id = ?
-	6	1.069	0.178	0.124	0.219	1.000	Connect 
unknown	0	0.000	0.000	0.000	0.000	-	-
- sql total time	-	11,655.234	-	-	-	-	-
-	637	5,447.774	8.552	4.626	205.705	0.000	Commit 
-	1079	4,224.421	3.915	0.194	99.318	0.000	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	16137	1,977.892	0.122	0.015	49.617	0.000	Close 
-	1	5.074	5.074	5.074	5.074	0.000	"RowsNext SELECT
				GROUP_CONCAT(player_score.score) AS scores,
				GROUP_CONCAT(competition.title) AS titles,
				GROUP_CONCAT(competition.created_at) AS created_ats,
				GROUP_CONCAT(competition.id) AS ids
			FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			GROUP BY player_score.player_id
			"
-	1	0.071	0.071	0.071	0.071	0.000	RowsNext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
request							
GET /api/player/player/:player_id	59737	31,724.535	0.531	0.019	177.575	-	-
POST /api/organizer/competition/:competition_id/finish	597	22,789.349	38.173	9.920	132.951	-	-
POST /api/organizer/competition/:competition_id/score	637	10,743.758	16.866	7.449	229.745	-	-
GET /api/player/competition/:competition_id/ranking	26232	7,917.333	0.301	0.018	170.145	-	-
GET /api/player/competitions	3717	6,577.613	1.769	0.053	244.806	-	-
POST /api/organizer/competitions/add	638	5,724.604	8.972	4.476	66.900	-	-
POST /initialize2	1	2,682.399	2,682.399	2,682.399	2,682.399	-	-
GET /api/organizer/players	639	2,459.657	3.849	0.970	66.017	-	-
POST /api/admin/tenants/add2/:tenant_id	45	1,632.106	36.269	18.400	355.593	-	-
GET /api/organizer/billing	587	1,596.232	2.719	0.503	53.703	-	-
POST /api/organizer/players/add	59	772.712	13.096	6.610	58.114	-	-
POST /api/organizer/player/:player_id/disqualified	6	43.849	7.308	5.909	8.783	-	-
unknown	0	0.000	0.000	0.000	0.000	-	-
sql							
-	16084	12,939.512	0.804	0.102	244.611	-	Connect 
-	637	5,447.774	8.552	4.626	205.705	-	Commit 
-	638	5,230.966	8.199	4.205	66.478	-	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	597	4,760.370	7.973	4.212	40.395	-	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	1079	4,224.421	3.915	0.194	99.318	-	ExecContext INSERT IGNORE INTO visit_history_2 (player_id, tenant_id, competition_id, created_at, updated_at) VALUES 
-	637	2,795.270	4.388	0.358	66.595	-	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	597	2,394.429	4.010	0.909	48.123	-	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	16137	1,977.892	0.122	0.015	49.617	-	Close 
-	9069	1,184.685	0.130	0.042	21.368	-	"QueryContext SELECT
				GROUP_CONCAT(player_score.score) AS scores,
				GROUP_CONCAT(competition.title) AS titles,
				GROUP_CONCAT(competition.created_at) AS created_ats,
				GROUP_CONCAT(competition.id) AS ids
			FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			GROUP BY player_score.player_id
			"
-	587	810.939	1.381	0.175	41.560	-	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	637	710.799	1.115	0.027	56.523	-	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	59	687.820	11.657	5.538	50.227	-	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	597	631.682	1.058	0.202	32.170	-	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	4297	124.797	0.029	0.011	3.254	-	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	194	111.830	0.576	0.046	35.571	-	"QueryContext SELECT player_score.*, display_name FROM player_score INNER JOIN (
			SELECT player_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND competition_id = ? GROUP BY player_id
		) AS c ON (
			player_score.player_id = c.player_id
			AND player_score.row_num = c.row_num
			AND player_score.tenant_id = ? AND player_score.competition_id = ?
		)
		INNER JOIN player ON (
			player.id = player_score.player_id
		)
		ORDER BY player_score.score DESC, player_score.row_num ASC
		"
-	62	79.346	1.279	0.173	44.399	-	QueryContext SELECT * FROM tenant WHERE id = ?
-	637	46.369	0.072	0.006	12.447	-	BeginTx 
-	6	42.189	7.031	5.616	8.573	-	ExecContext UPDATE player SET is_disqualified = ?, updated_at = ? WHERE id = ?
-	597	32.852	0.055	0.017	4.423	-	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	639	17.455	0.027	0.013	2.129	-	QueryContext SELECT * FROM player WHERE tenant_id=? ORDER BY created_at DESC
-	59	15.965	0.270	0.124	1.664	-	Connect INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	770	11.628	0.015	0.006	1.676	-	QueryContext SELECT * FROM player WHERE id = ?
-	1	5.074	5.074	5.074	5.074	-	"RowsNext SELECT
				GROUP_CONCAT(player_score.score) AS scores,
				GROUP_CONCAT(competition.title) AS titles,
				GROUP_CONCAT(competition.created_at) AS created_ats,
				GROUP_CONCAT(competition.id) AS ids
			FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			GROUP BY player_score.player_id
			"
-	5	0.102	0.020	0.014	0.038	-	QueryContext SELECT * FROM competition WHERE id = ?
-	1	0.071	0.071	0.071	0.071	-	RowsNext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
